split,video,label,prob_abnormal,scene,conf,abn_flag,run,pers,zone,score,level
train,01_001,0,0.036815077,01,0.036815077,False,0,0.0,0.6,0.13840753849999998,Normal
train,01_001,0,0.08277392,01,0.08277392,False,0,0.0,0.6,0.16138696,Normal
train,01_001,0,0.020670354,01,0.020670354,False,0,0.0,0.6,0.130335177,Normal
train,01_001,0,0.017062206,01,0.017062206,False,0,0.0,0.6,0.128531103,Normal
train,01_001,0,0.048959143,01,0.048959143,False,0,0.0,0.6,0.1444795715,Normal
train,01_001,0,0.047517873,01,0.047517873,False,0,0.0,0.6,0.1437589365,Normal
train,01_001,0,0.057978965,01,0.057978965,False,0,0.0,0.6,0.1489894825,Normal
train,01_001,0,0.032745607,01,0.032745607,False,0,0.0,0.6,0.1363728035,Normal
train,01_001,0,0.020235019,01,0.020235019,False,0,0.0,0.6,0.1301175095,Normal
train,01_001,0,0.020437421,01,0.020437421,False,0,0.0,0.6,0.1302187105,Normal
train,01_001,0,0.032285746,01,0.032285746,False,0,0.0,0.6,0.136142873,Normal
train,01_001,0,0.01930434,01,0.01930434,False,0,0.0,0.6,0.12965216999999998,Normal
train,01_001,0,0.015929189,01,0.015929189,False,0,0.0,0.6,0.1279645945,Normal
train,01_001,0,0.015546524,01,0.015546524,False,0,0.0,0.6,0.127773262,Normal
train,01_001,0,0.05466607,01,0.05466607,False,0,0.0,0.6,0.147333035,Normal
train,01_001,0,0.10928371,01,0.10928371,False,0,0.0,0.6,0.174641855,Normal
train,01_001,0,0.0818057,01,0.0818057,False,0,0.0,0.6,0.16090285,Normal
train,01_001,0,0.0404748,01,0.0404748,False,0,0.0,0.6,0.14023739999999998,Normal
train,01_001,0,0.027032256,01,0.027032256,False,0,0.0,0.6,0.13351612799999998,Normal
train,01_001,0,0.025038252,01,0.025038252,False,0,0.0,0.6,0.132519126,Normal
train,01_001,0,0.025831234,01,0.025831234,False,0,0.0,0.6,0.13291561699999999,Normal
train,01_001,0,0.016087899,01,0.016087899,False,0,0.0,0.6,0.1280439495,Normal
train,01_0014,0,0.197038,01,0.197038,False,0,0.0,0.6,0.218519,Normal
train,01_0014,0,0.29206055,01,0.29206055,False,0,0.0,0.6,0.266030275,Normal
train,01_0014,0,0.3391923,01,0.3391923,False,0,0.0,0.6,0.28959615,Normal
train,01_0014,0,0.34820557,01,0.34820557,False,0,0.0,0.6,0.294102785,Normal
train,01_0014,1,0.87905884,01,0.87905884,True,1,0.2,0.6,0.61952942,Low
train,01_0014,1,0.98268765,01,0.98268765,True,2,0.4,0.6,0.7313438250000001,Medium
train,01_0014,1,0.95806617,01,0.95806617,True,3,0.6,0.6,0.779033085,Medium
test,01_0015,0,0.40543598,01,0.40543598,False,0,0.0,0.6,0.32271799,Normal
test,01_0015,0,0.5711835,01,0.5711835,True,1,0.2,0.6,0.46559174999999997,Low
test,01_0015,1,0.5898262,01,0.5898262,True,2,0.4,0.6,0.5349131,Low
test,01_0015,1,0.5485835,01,0.5485835,True,3,0.6,0.6,0.57429175,Low
test,01_0015,1,0.6303532,01,0.6303532,True,4,0.8,0.6,0.6751766,Medium
test,01_0015,1,0.595671,01,0.595671,True,5,1.0,0.6,0.7178355,Medium
test,01_0015,1,0.8536568,01,0.8536568,True,6,1.0,0.6,0.8468284,High
test,01_0015,1,0.7726818,01,0.7726818,True,7,1.0,0.6,0.8063409,Medium
test,01_0015,1,0.63907295,01,0.63907295,True,8,1.0,0.6,0.739536475,Medium
test,01_0015,1,0.6840079,01,0.6840079,True,9,1.0,0.6,0.76200395,Medium
test,01_0015,1,0.57902485,01,0.57902485,True,10,1.0,0.6,0.709512425,Medium
test,01_0015,0,0.35459337,01,0.35459337,False,0,0.0,0.6,0.297296685,Normal
train,01_0016,0,0.8364328,01,0.8364328,True,1,0.2,0.6,0.5982164,Low
train,01_0016,0,0.88190126,01,0.88190126,True,2,0.4,0.6,0.68095063,Medium
train,01_0016,0,0.8960278,01,0.8960278,True,3,0.6,0.6,0.7480139,Medium
train,01_0016,0,0.8692191,01,0.8692191,True,4,0.8,0.6,0.79460955,Medium
train,01_0016,0,0.86831474,01,0.86831474,True,5,1.0,0.6,0.8541573699999999,High
train,01_0016,1,0.98251593,01,0.98251593,True,6,1.0,0.6,0.911257965,Critical
train,01_0016,1,0.989016,01,0.989016,True,7,1.0,0.6,0.914508,Critical
train,01_0016,1,0.98598063,01,0.98598063,True,8,1.0,0.6,0.9129903149999999,Critical
train,01_0016,0,0.9639536,01,0.9639536,True,9,1.0,0.6,0.9019768,High
val,01_002,0,0.8099241,01,0.8099241,True,1,0.2,0.6,0.58496205,Low
val,01_002,0,0.35085976,01,0.35085976,False,0,0.0,0.6,0.29542988000000003,Normal
val,01_002,0,0.1424667,01,0.1424667,False,0,0.0,0.6,0.19123335,Normal
val,01_002,0,0.3073725,01,0.3073725,False,0,0.0,0.6,0.27368625,Normal
val,01_002,0,0.3466309,01,0.3466309,False,0,0.0,0.6,0.29331545000000003,Normal
val,01_002,0,0.2833386,01,0.2833386,False,0,0.0,0.6,0.2616693,Normal
val,01_002,0,0.16571194,01,0.16571194,False,0,0.0,0.6,0.20285597,Normal
val,01_002,0,0.10993692,01,0.10993692,False,0,0.0,0.6,0.17496846,Normal
val,01_002,0,0.055840388,01,0.055840388,False,0,0.0,0.6,0.147920194,Normal
val,01_002,0,0.07036628,01,0.07036628,False,0,0.0,0.6,0.15518314,Normal
val,01_002,0,0.09986811,01,0.09986811,False,0,0.0,0.6,0.169934055,Normal
val,01_002,0,0.23021455,01,0.23021455,False,0,0.0,0.6,0.235107275,Normal
val,01_002,0,0.40227705,01,0.40227705,False,0,0.0,0.6,0.321138525,Normal
val,01_002,0,0.31447423,01,0.31447423,False,0,0.0,0.6,0.27723711500000003,Normal
train,01_0025,0,0.043700524,01,0.043700524,False,0,0.0,0.6,0.141850262,Normal
train,01_0025,0,0.033340685,01,0.033340685,False,0,0.0,0.6,0.13667034249999999,Normal
train,01_0025,0,0.034750927,01,0.034750927,False,0,0.0,0.6,0.1373754635,Normal
train,01_0025,0,0.09255777,01,0.09255777,False,0,0.0,0.6,0.166278885,Normal
train,01_0025,1,0.918014,01,0.918014,True,1,0.2,0.6,0.639007,Low
train,01_0025,1,0.94544303,01,0.94544303,True,2,0.4,0.6,0.712721515,Medium
train,01_0025,0,0.23100638,01,0.23100638,False,0,0.0,0.6,0.23550319,Normal
train,01_0025,0,0.21847932,01,0.21847932,False,0,0.0,0.6,0.22923966,Normal
train,01_0025,0,0.10178245,01,0.10178245,False,0,0.0,0.6,0.17089122499999998,Normal
train,01_0025,0,0.22217675,01,0.22217675,False,0,0.0,0.6,0.231088375,Normal
train,01_0025,0,0.854117,01,0.854117,True,1,0.2,0.6,0.6070585,Low
train,01_0025,0,0.7507752,01,0.7507752,True,2,0.4,0.6,0.6153876,Low
train,01_0025,0,0.32693207,01,0.32693207,False,0,0.0,0.6,0.283466035,Normal
train,01_0025,0,0.06962571,01,0.06962571,False,0,0.0,0.6,0.154812855,Normal
train,01_0025,0,0.04354246,01,0.04354246,False,0,0.0,0.6,0.14177123,Normal
train,01_0025,0,0.034099106,01,0.034099106,False,0,0.0,0.6,0.137049553,Normal
train,01_0025,0,0.03237244,01,0.03237244,False,0,0.0,0.6,0.13618622,Normal
train,01_0026,0,0.24922355,01,0.24922355,False,0,0.0,0.6,0.24461177499999998,Normal
train,01_0026,0,0.54555744,01,0.54555744,True,1,0.2,0.6,0.45277871999999997,Low
train,01_0026,0,0.37337688,01,0.37337688,False,0,0.0,0.6,0.30668844,Normal
train,01_0026,0,0.099988505,01,0.099988505,False,0,0.0,0.6,0.1699942525,Normal
train,01_0026,0,0.27775076,01,0.27775076,False,0,0.0,0.6,0.25887538,Normal
train,01_0026,0,0.3255065,01,0.3255065,False,0,0.0,0.6,0.28275324999999996,Normal
train,01_0026,0,0.20979814,01,0.20979814,False,0,0.0,0.6,0.22489906999999998,Normal
train,01_0026,0,0.60962695,01,0.60962695,True,1,0.2,0.6,0.484813475,Low
train,01_0026,1,0.94240403,01,0.94240403,True,2,0.4,0.6,0.7112020149999999,Medium
train,01_0026,1,0.9716803,01,0.9716803,True,3,0.6,0.6,0.78584015,Medium
train,01_0026,1,0.979752,01,0.979752,True,4,0.8,0.6,0.849876,High
train,01_0026,1,0.95838,01,0.95838,True,5,1.0,0.6,0.89919,High
train,01_0026,0,0.46582913,01,0.46582913,False,0,0.0,0.6,0.35291456499999996,Normal
train,01_0026,0,0.19563651,01,0.19563651,False,0,0.0,0.6,0.21781825500000002,Normal
train,01_0027,0,0.5603463,01,0.5603463,True,1,0.2,0.6,0.46017315,Low
train,01_0027,0,0.4957232,01,0.4957232,False,0,0.0,0.6,0.3678616,Normal
train,01_0027,1,0.8647928,01,0.8647928,True,1,0.2,0.6,0.6123964,Low
train,01_0027,1,0.95220184,01,0.95220184,True,2,0.4,0.6,0.71610092,Medium
train,01_0027,0,0.9251462,01,0.9251462,True,3,0.6,0.6,0.7625731,Medium
train,01_0027,0,0.8321472,01,0.8321472,True,4,0.8,0.6,0.7760736,Medium
train,01_0027,0,0.7162818,01,0.7162818,True,5,1.0,0.6,0.7781409,Medium
train,01_0027,0,0.22469738,01,0.22469738,False,0,0.0,0.6,0.23234869,Normal
train,01_0027,0,0.11939653,01,0.11939653,False,0,0.0,0.6,0.179698265,Normal
train,01_0027,0,0.33101842,01,0.33101842,False,0,0.0,0.6,0.28550920999999996,Normal
train,01_0027,0,0.14145702,01,0.14145702,False,0,0.0,0.6,0.19072851,Normal
val,01_0028,0,0.01735581,01,0.01735581,False,0,0.0,0.6,0.12867790499999998,Normal
val,01_0028,0,0.03540953,01,0.03540953,False,0,0.0,0.6,0.137704765,Normal
val,01_0028,0,0.029015336,01,0.029015336,False,0,0.0,0.6,0.134507668,Normal
val,01_0028,0,0.058742322,01,0.058742322,False,0,0.0,0.6,0.149371161,Normal
val,01_0028,0,0.07828602,01,0.07828602,False,0,0.0,0.6,0.15914301,Normal
val,01_0028,0,0.07059698,01,0.07059698,False,0,0.0,0.6,0.15529849,Normal
val,01_0028,0,0.3043986,01,0.3043986,False,0,0.0,0.6,0.27219930000000003,Normal
val,01_0028,0,0.87320966,01,0.87320966,True,1,0.2,0.6,0.61660483,Low
val,01_0028,1,0.9255402,01,0.9255402,True,2,0.4,0.6,0.7027701000000001,Medium
val,01_0028,1,0.8826884,01,0.8826884,True,3,0.6,0.6,0.7413442,Medium
val,01_0028,0,0.019054914,01,0.019054914,False,0,0.0,0.6,0.12952745699999998,Normal
val,01_0028,0,0.020969173,01,0.020969173,False,0,0.0,0.6,0.1304845865,Normal
val,01_0028,0,0.02420342,01,0.02420342,False,0,0.0,0.6,0.13210170999999998,Normal
train,01_0029,0,0.1141315,01,0.1141315,False,0,0.0,0.6,0.17706575,Normal
train,01_0029,0,0.1424574,01,0.1424574,False,0,0.0,0.6,0.1912287,Normal
train,01_0029,0,0.13156764,01,0.13156764,False,0,0.0,0.6,0.18578382,Normal
train,01_0029,0,0.52186817,01,0.52186817,True,1,0.2,0.6,0.440934085,Low
train,01_0029,1,0.96565485,01,0.96565485,True,2,0.4,0.6,0.722827425,Medium
train,01_0029,1,0.97108185,01,0.97108185,True,3,0.6,0.6,0.785540925,Medium
train,01_0029,1,0.9582782,01,0.9582782,True,4,0.8,0.6,0.8391391,High
train,01_0029,0,0.84738016,01,0.84738016,True,5,1.0,0.6,0.84369008,High
train,01_003,0,0.014468237,01,0.014468237,False,0,0.0,0.6,0.1272341185,Normal
train,01_003,0,0.009998974,01,0.009998974,False,0,0.0,0.6,0.12499948699999999,Normal
train,01_003,0,0.012157525,01,0.012157525,False,0,0.0,0.6,0.1260787625,Normal
train,01_003,0,0.0062108533,01,0.0062108533,False,0,0.0,0.6,0.12310542665,Normal
train,01_003,0,0.005166785,01,0.005166785,False,0,0.0,0.6,0.1225833925,Normal
train,01_003,0,0.006442386,01,0.006442386,False,0,0.0,0.6,0.12322119299999999,Normal
train,01_003,0,0.006727977,01,0.006727977,False,0,0.0,0.6,0.1233639885,Normal
train,01_003,0,0.0068528806,01,0.0068528806,False,0,0.0,0.6,0.1234264403,Normal
train,01_003,0,0.005348203,01,0.005348203,False,0,0.0,0.6,0.1226741015,Normal
train,01_003,0,0.0046253894,01,0.0046253894,False,0,0.0,0.6,0.1223126947,Normal
train,01_003,0,0.0047517573,01,0.0047517573,False,0,0.0,0.6,0.12237587864999999,Normal
train,01_003,0,0.0046355403,01,0.0046355403,False,0,0.0,0.6,0.12231777014999999,Normal
train,01_003,0,0.0052405684,01,0.0052405684,False,0,0.0,0.6,0.1226202842,Normal
train,01_003,0,0.0056168367,01,0.0056168367,False,0,0.0,0.6,0.12280841834999999,Normal
train,01_003,0,0.010713703,01,0.010713703,False,0,0.0,0.6,0.1253568515,Normal
train,01_003,0,0.006817882,01,0.006817882,False,0,0.0,0.6,0.123408941,Normal
train,01_003,0,0.008062328,01,0.008062328,False,0,0.0,0.6,0.124031164,Normal
train,01_003,0,0.0048809294,01,0.0048809294,False,0,0.0,0.6,0.1224404647,Normal
train,01_003,0,0.004266381,01,0.004266381,False,0,0.0,0.6,0.12213319049999999,Normal
train,01_003,0,0.0060824496,01,0.0060824496,False,0,0.0,0.6,0.1230412248,Normal
train,01_003,0,0.006758916,01,0.006758916,False,0,0.0,0.6,0.123379458,Normal
train,01_003,0,0.004610922,01,0.004610922,False,0,0.0,0.6,0.12230546099999999,Normal
train,01_003,0,0.023954129,01,0.023954129,False,0,0.0,0.6,0.1319770645,Normal
test,01_0030,0,0.078508206,01,0.078508206,False,0,0.0,0.6,0.15925410299999998,Normal
test,01_0030,0,0.4559195,01,0.4559195,False,0,0.0,0.6,0.34795975,Normal
test,01_0030,0,0.7577638,01,0.7577638,True,1,0.2,0.6,0.5588819,Low
